who,what,when,where,sentences
Matthew,curry,this afternoon,in the garden,Matthew ate curry this afternoon in the garden.
Thomas,salad,last night,in the station,Thomas ate salad last night in the station.
Paul,ravioli,this evening,at the cafe,Paul ate ravioli this evening at the cafe.
James,biscuits,last Thursday,in the park,James ate biscuits last Thursday in the park.
Lisa,wok,last spring,at the restaurant,Lisa ate wok last spring at the restaurant.
Linda,cereal,last Wednesday,at the restaurant,Linda ate cereal last Wednesday at the restaurant.
Daniel,steak,this evening,at the restaurant,Daniel ate steak this evening at the restaurant.
Mark,fish,last spring,in the kitchen,Mark ate fish last spring in the kitchen.
Sam,pizza,last year,at the mall,Sam ate pizza last year at the mall.
Emily,curry,one hour ago,at the mall,Emily ate curry one hour ago at the mall.
Karen,pasta,last month,in the office,Karen ate pasta last month in the office.
Olivia,ravioli,today,in the station,Olivia ate ravioli today in the station.
Rachel,doughnuts,last spring,in the station,Rachel ate doughnuts last spring in the station.
Jennifer,falafel,last Sunday,in the park,Jennifer ate falafel last Sunday in the park.
Mary,sushi,this evening,at the cafe,Mary ate sushi this evening at the cafe.
Chris,toast,yesterday,in the office,Chris ate toast yesterday in the office.
Sam,spaghetti,yesterday,at the mall,Sam ate spaghetti yesterday at the mall.
Hannah,bread,last year,in the park,Hannah ate bread last year in the park.
David,toast,last Friday,in the kitchen,David ate toast last Friday in the kitchen.
Paul,sushi,last Tuesday,in the kitchen,Paul ate sushi last Tuesday in the kitchen.
James,soup,last spring,in the park,James ate soup last spring in the park.
Robert,omelette,last fall,in the kitchen,Robert ate omelette last fall in the kitchen.
Karen,cake,last month,at the school,Karen ate cake last month at the school.
Lisa,toast,yesterday,in the park,Lisa ate toast yesterday in the park.
Joseph,risotto,this afternoon,in the park,Joseph ate risotto this afternoon in the park.
Lucas,rice,last fall,in the park,Lucas ate rice last fall in the park.
Olivia,toast,last spring,in the garden,Olivia ate toast last spring in the garden.
Robert,toast,this weekend,at the mall,Robert ate toast this weekend at the mall.
William,curry,last spring,in the garden,William ate curry last spring in the garden.
Karen,chicken wings,last Tuesday,in the garden,Karen ate chicken wings last Tuesday in the garden.
William,sandwich,last Wednesday,on the rooftop,William ate sandwich last Wednesday on the rooftop.
William,biscuits,yesterday,in the park,William ate biscuits yesterday in the park.
Sam,hamburger,this evening,at the cafe,Sam ate hamburger this evening at the cafe.
William,hamburger,last month,at the mall,William ate hamburger last month at the mall.
Michael,hot dog,last week,in the garden,Michael ate hot dog last week in the garden.
Hannah,wok,this afternoon,in the station,Hannah ate wok this afternoon in the station.
Lisa,cake,last Sunday,in the park,Lisa ate cake last Sunday in the park.
Mark,steak,two hours ago,in the station,Mark ate steak two hours ago in the station.
Anna,cereal,today,in the station,Anna ate cereal today in the station.
Charles,banana,yesterday,at the mall,Charles ate banana yesterday at the mall.
Karen,tacos,last spring,in the garden,Karen ate tacos last spring in the garden.
Elizabeth,soup,last spring,on the rooftop,Elizabeth ate soup last spring on the rooftop.
Joseph,omelette,this morning,in the garden,Joseph ate omelette this morning in the garden.
Claire,spaghetti,yesterday,in the station,Claire ate spaghetti yesterday in the station.
Charles,nachos,this evening,on the rooftop,Charles ate nachos this evening on the rooftop.
Sarah,fried chicken,recently,in the station,Sarah ate fried chicken recently in the station.
Jason,steak,last night,at the mall,Jason ate steak last night at the mall.
William,bread,this afternoon,in the station,William ate bread this afternoon in the station.
Jason,steak,recently,at the cafe,Jason ate steak recently at the cafe.
Sam,chicken wings,yesterday,on the rooftop,Sam ate chicken wings yesterday on the rooftop.
Claire,pasta,this afternoon,in the park,Claire ate pasta this afternoon in the park.
Lucas,risotto,this morning,at the restaurant,Lucas ate risotto this morning at the restaurant.
Mark,hamburger,last winter,at the mall,Mark ate hamburger last winter at the mall.
Jason,sushi,last Friday,in the park,Jason ate sushi last Friday in the park.
Jason,risotto,last summer,in the kitchen,Jason ate risotto last summer in the kitchen.
Jennifer,cake,today,in the station,Jennifer ate cake today in the station.
Matthew,lasagna,lately,in the park,Matthew ate lasagna lately in the park.
James,cake,this afternoon,at the school,James ate cake this afternoon at the school.
Jason,cake,lately,at the mall,Jason ate cake lately at the mall.
James,waffles,last year,in the kitchen,James ate waffles last year in the kitchen.
Jessica,ravioli,last summer,at the restaurant,Jessica ate ravioli last summer at the restaurant.
Jason,wok,last Friday,in the kitchen,Jason ate wok last Friday in the kitchen.
Jason,soup,one hour ago,in the station,Jason ate soup one hour ago in the station.
Sophie,rice,last night,in the kitchen,Sophie ate rice last night in the kitchen.
Sarah,carbonara,last Saturday,in the garden,Sarah ate carbonara last Saturday in the garden.
Sam,steak,this morning,at the restaurant,Sam ate steak this morning at the restaurant.
David,falafel,this afternoon,in the park,David ate falafel this afternoon in the park.
Chris,sushi,this evening,on the rooftop,Chris ate sushi this evening on the rooftop.
Robert,toast,this evening,in the park,Robert ate toast this evening in the park.
Emma,doughnuts,last Wednesday,at the restaurant,Emma ate doughnuts last Wednesday at the restaurant.
Karen,curry,this afternoon,at the mall,Karen ate curry this afternoon at the mall.
Anna,cereal,last year,in the garden,Anna ate cereal last year in the garden.
Richard,bread,lately,at the cafe,Richard ate bread lately at the cafe.
Thomas,cereal,last Tuesday,at the restaurant,Thomas ate cereal last Tuesday at the restaurant.
Michael,fish,last Saturday,in the kitchen,Michael ate fish last Saturday in the kitchen.
Matthew,sushi,last week,on the rooftop,Matthew ate sushi last week on the rooftop.
Anna,rice,last Friday,at the cafe,Anna ate rice last Friday at the cafe.
Julia,banana,last month,at the cafe,Julia ate banana last month at the cafe.
Sophie,tacos,lately,at the restaurant,Sophie ate tacos lately at the restaurant.
Linda,pancakes,two hours ago,in the garden,Linda ate pancakes two hours ago in the garden.
John,rice,two hours ago,in the office,John ate rice two hours ago in the office.
Ben,cake,last Tuesday,in the park,Ben ate cake last Tuesday in the park.
Emma,tacos,last Sunday,on the rooftop,Emma ate tacos last Sunday on the rooftop.
Sophie,falafel,last night,on the rooftop,Sophie ate falafel last night on the rooftop.
Richard,rice,last month,in the kitchen,Richard ate rice last month in the kitchen.
Claire,hot dog,two hours ago,in the station,Claire ate hot dog two hours ago in the station.
James,fish,last Thursday,at the restaurant,James ate fish last Thursday at the restaurant.
Sophie,banana,last summer,in the station,Sophie ate banana last summer in the station.
Hannah,pasta,last winter,at the restaurant,Hannah ate pasta last winter at the restaurant.
Ben,doughnuts,two hours ago,at the mall,Ben ate doughnuts two hours ago at the mall.
Linda,nachos,last Sunday,at the mall,Linda ate nachos last Sunday at the mall.
William,falafel,this morning,in the station,William ate falafel this morning in the station.
Sam,bread,last winter,in the garden,Sam ate bread last winter in the garden.
James,tacos,last week,in the office,James ate tacos last week in the office.
Emma,steak,this weekend,at the mall,Emma ate steak this weekend at the mall.
Lauren,doughnuts,last fall,at the mall,Lauren ate doughnuts last fall at the mall.
Anna,sushi,last Wednesday,in the station,Anna ate sushi last Wednesday in the station.
Jennifer,fish,last Monday,at the school,Jennifer ate fish last Monday at the school.
Elizabeth,bagel,last spring,at the restaurant,Elizabeth ate bagel last spring at the restaurant.
Rachel,apple pie,last spring,in the garden,Rachel ate apple pie last spring in the garden.
Karen,bagel,last Sunday,on the rooftop,Karen ate bagel last Sunday on the rooftop.
Emily,cake,this evening,at the restaurant,Emily ate cake this evening at the restaurant.
Sarah,tacos,last fall,at the restaurant,Sarah ate tacos last fall at the restaurant.
Lauren,curry,this afternoon,on the rooftop,Lauren ate curry this afternoon on the rooftop.
Thomas,fried chicken,recently,at the cafe,Thomas ate fried chicken recently at the cafe.
Kimberly,tacos,this morning,at the restaurant,Kimberly ate tacos this morning at the restaurant.
Mark,potatoes,last Tuesday,at the restaurant,Mark ate potatoes last Tuesday at the restaurant.
Sarah,noodle,last Saturday,at the cafe,Sarah ate noodle last Saturday at the cafe.
William,hot dog,last week,at the school,William ate hot dog last week at the school.
Michael,hot dog,last year,at the mall,Michael ate hot dog last year at the mall.
Anna,sushi,one hour ago,in the kitchen,Anna ate sushi one hour ago in the kitchen.
Richard,potatoes,last year,at the school,Richard ate potatoes last year at the school.
James,spaghetti,yesterday,at the school,James ate spaghetti yesterday at the school.
Lauren,bagel,last summer,at the restaurant,Lauren ate bagel last summer at the restaurant.
Thomas,doughnuts,last Thursday,in the office,Thomas ate doughnuts last Thursday in the office.
Alice,waffles,last week,on the rooftop,Alice ate waffles last week on the rooftop.
Alice,toast,recently,at the cafe,Alice ate toast recently at the cafe.
Charles,bagel,last summer,in the kitchen,Charles ate bagel last summer in the kitchen.
John,pizza,last Thursday,in the garden,John ate pizza last Thursday in the garden.
Thomas,bagel,last Sunday,in the kitchen,Thomas ate bagel last Sunday in the kitchen.
Hannah,noodle,last night,in the station,Hannah ate noodle last night in the station.
Joseph,lasagna,one hour ago,in the park,Joseph ate lasagna one hour ago in the park.
Jason,carbonara,last Tuesday,at the restaurant,Jason ate carbonara last Tuesday at the restaurant.
Ben,carbonara,this weekend,on the rooftop,Ben ate carbonara this weekend on the rooftop.
Jennifer,cheese,recently,in the park,Jennifer ate cheese recently in the park.
Chris,hamburger,last Wednesday,at the restaurant,Chris ate hamburger last Wednesday at the restaurant.
Karen,beef,last spring,on the rooftop,Karen ate beef last spring on the rooftop.
Lucas,apple pie,last Wednesday,in the garden,Lucas ate apple pie last Wednesday in the garden.
Robert,chicken wings,last year,at the cafe,Robert ate chicken wings last year at the cafe.
Joseph,chicken wings,last week,in the park,Joseph ate chicken wings last week in the park.
Claire,chicken wings,last Saturday,at the school,Claire ate chicken wings last Saturday at the school.
Ethan,banana,last spring,at the cafe,Ethan ate banana last spring at the cafe.
Emma,pasta,last Tuesday,in the kitchen,Emma ate pasta last Tuesday in the kitchen.
Michael,rice,this evening,in the garden,Michael ate rice this evening in the garden.
Emma,beef,last spring,at the school,Emma ate beef last spring at the school.
Linda,spaghetti,last Saturday,at the cafe,Linda ate spaghetti last Saturday at the cafe.
David,beef,this evening,in the garden,David ate beef this evening in the garden.
Lauren,apple pie,last year,in the park,Lauren ate apple pie last year in the park.
John,biscuits,last summer,on the rooftop,John ate biscuits last summer on the rooftop.
David,hamburger,last Wednesday,in the station,David ate hamburger last Wednesday in the station.
Olivia,toast,last month,at the school,Olivia ate toast last month at the school.
Mary,bagel,this morning,at the mall,Mary ate bagel this morning at the mall.
James,falafel,last Tuesday,at the mall,James ate falafel last Tuesday at the mall.
John,pasta,last week,at the cafe,John ate pasta last week at the cafe.
